repo,n_commits,coverage,low_conf,unknown_pct,suspects_pct,status,reasons,base
ecmerkle_blavaan_bug_commits_classified,372,0.9839,0.0161,0.0,0.0,PASS,,data_bug\ecmerkle_blavaan_bug_commits\ecmerkle_blavaan_bug_commits_classified
thaum-xyz_ankhmorpork_bug_commits_classified,376,0.984,0.016,0.0,0.0,PASS,,data_bug\thaum-xyz_ankhmorpork_bug_commits\thaum-xyz_ankhmorpork_bug_commits_classified
SISBID_Data-Wrangling_bug_commits_classified,73,0.9863,0.0137,0.0,0.0,PASS,,data_bug\SISBID_Data-Wrangling_bug_commits\SISBID_Data-Wrangling_bug_commits_classified
stuart-lab_signac_bug_commits_classified,236,0.9873,0.0127,0.0,0.0,PASS,,data_bug\stuart-lab_signac_bug_commits\stuart-lab_signac_bug_commits_classified
tidyverse_datascience-box_bug_commits_classified,81,0.9877,0.0247,0.0,0.0,PASS,,data_bug\tidyverse_datascience-box_bug_commits\tidyverse_datascience-box_bug_commits_classified
bcgov_CCISS_ShinyApp_bug_commits_classified,98,0.9898,0.0102,0.0,0.0,PASS,,data_bug\bcgov_CCISS_ShinyApp_bug_commits\bcgov_CCISS_ShinyApp_bug_commits_classified
SBOHVM_RPiR_bug_commits_classified,99,0.9899,0.0101,0.0,0.0,PASS,,data_bug\SBOHVM_RPiR_bug_commits\SBOHVM_RPiR_bug_commits_classified
SLCLADAL_SLCLADAL.github.io_bug_commits_classified,106,0.9906,0.0094,0.0,0.0,PASS,,data_bug\SLCLADAL_SLCLADAL.github.io_bug_commits\SLCLADAL_SLCLADAL.github.io_bug_commits_classified
PhanstielLab_plotgardener_bug_commits_classified,318,0.9937,0.0063,0.0,0.0,PASS,,data_bug\PhanstielLab_plotgardener_bug_commits\PhanstielLab_plotgardener_bug_commits_classified
satijalab_seurat_bug_commits_classified,1576,0.9949,0.0057,0.0,0.0,PASS,,data_bug\satijalab_seurat_bug_commits\satijalab_seurat_bug_commits_classified
IndrajeetPatil_ggstatsplot_bug_commits_classified,231,0.9957,0.0087,0.0,0.0,PASS,,data_bug\IndrajeetPatil_ggstatsplot_bug_commits\IndrajeetPatil_ggstatsplot_bug_commits_classified
r-lib_roxygen2_bug_commits_classified,489,0.998,0.0082,0.0,0.0,PASS,,data_bug\r-lib_roxygen2_bug_commits\r-lib_roxygen2_bug_commits_classified
easystats_parameters_bug_commits_classified,1022,0.999,0.001,0.0,0.0,PASS,,data_bug\easystats_parameters_bug_commits\easystats_parameters_bug_commits_classified
ArgoCanada_argoFloats_bug_commits_classified,321,1.0,0.0,0.0,0.0,PASS,,data_bug\ArgoCanada_argoFloats_bug_commits\ArgoCanada_argoFloats_bug_commits_classified
Bioconductor_pkgrevdocs_bug_commits_classified,31,1.0,0.0,0.0,0.0,PASS,,data_bug\Bioconductor_pkgrevdocs_bug_commits\Bioconductor_pkgrevdocs_bug_commits_classified
Polkas_pacs_bug_commits_classified,37,1.0,0.0,0.0,0.0,PASS,,data_bug\Polkas_pacs_bug_commits\Polkas_pacs_bug_commits_classified
RConsortium_S7_bug_commits_classified,155,1.0,0.0,0.0,0.0,PASS,,data_bug\RConsortium_S7_bug_commits\RConsortium_S7_bug_commits_classified
XueyiDong_LongReadBenchmark_bug_commits_classified,8,1.0,0.0,0.0,0.0,PASS,,data_bug\XueyiDong_LongReadBenchmark_bug_commits\XueyiDong_LongReadBenchmark_bug_commits_classified
ajrgodfrey_BrailleR_bug_commits_classified,84,1.0,0.0,0.0,0.0,PASS,,data_bug\ajrgodfrey_BrailleR_bug_commits\ajrgodfrey_BrailleR_bug_commits_classified
andreamazzella_IntRo_bug_commits_classified,8,1.0,0.0,0.0,0.0,PASS,,data_bug\andreamazzella_IntRo_bug_commits\andreamazzella_IntRo_bug_commits_classified
cxli233_FriendsDontLetFriends_bug_commits_classified,11,1.0,0.0,0.0,0.0,PASS,,data_bug\cxli233_FriendsDontLetFriends_bug_commits\cxli233_FriendsDontLetFriends_bug_commits_classified
daviddalpiaz_appliedstats_bug_commits_classified,123,1.0,0.0,0.0,0.0,PASS,,data_bug\daviddalpiaz_appliedstats_bug_commits\daviddalpiaz_appliedstats_bug_commits_classified
dfo-mar-odis_shinySpatialApp_bug_commits_classified,118,1.0,0.0,0.0,0.0,PASS,,data_bug\dfo-mar-odis_shinySpatialApp_bug_commits\dfo-mar-odis_shinySpatialApp_bug_commits_classified
easystats_effectsize_bug_commits_classified,352,1.0,0.0,0.0,0.0,PASS,,data_bug\easystats_effectsize_bug_commits\easystats_effectsize_bug_commits_classified
hyunjimoon_SBC_bug_commits_classified,65,1.0,0.0,0.0,0.0,PASS,,data_bug\hyunjimoon_SBC_bug_commits\hyunjimoon_SBC_bug_commits_classified
info340_book_bug_commits_classified,38,1.0,0.0263,0.0,0.0,PASS,,data_bug\info340_book_bug_commits\info340_book_bug_commits_classified
leppott_ContDataQC_bug_commits_classified,129,1.0,0.0,0.0,0.0,PASS,,data_bug\leppott_ContDataQC_bug_commits\leppott_ContDataQC_bug_commits_classified
neurogenomics_orthogene_bug_commits_classified,46,1.0,0.0,0.0,0.0,PASS,,data_bug\neurogenomics_orthogene_bug_commits\neurogenomics_orthogene_bug_commits_classified
oliviergimenez_banana-book_bug_commits_classified,19,1.0,0.0,0.0,0.0,PASS,,data_bug\oliviergimenez_banana-book_bug_commits\oliviergimenez_banana-book_bug_commits_classified
opensaludlab_ciencia_datos_bug_commits_classified,22,1.0,0.0,0.0,0.0,PASS,,data_bug\opensaludlab_ciencia_datos_bug_commits\opensaludlab_ciencia_datos_bug_commits_classified
r-tmap_tmap_bug_commits_classified,625,1.0,0.0,0.0,0.0,PASS,,data_bug\r-tmap_tmap_bug_commits\r-tmap_tmap_bug_commits_classified
ropensci_bold_bug_commits_classified,117,1.0,0.0,0.0,0.0,PASS,,data_bug\ropensci_bold_bug_commits\ropensci_bold_bug_commits_classified
rstudio_tensorflow.rstudio.com_bug_commits_classified,21,1.0,0.0,0.0,0.0,PASS,,data_bug\rstudio_tensorflow.rstudio.com_bug_commits\rstudio_tensorflow.rstudio.com_bug_commits_classified
stan-dev_cmdstanr_bug_commits_classified,632,1.0,0.0016,0.0,0.0,PASS,,data_bug\stan-dev_cmdstanr_bug_commits\stan-dev_cmdstanr_bug_commits_classified
strengejacke_sjPlot_bug_commits_classified,345,1.0,0.0,0.0,0.0,PASS,,data_bug\strengejacke_sjPlot_bug_commits\strengejacke_sjPlot_bug_commits_classified
tsahota_NMproject_bug_commits_classified,249,1.0,0.0,0.0,0.0,PASS,,data_bug\tsahota_NMproject_bug_commits\tsahota_NMproject_bug_commits_classified
yuryzablotski_yuzaR-Blog_bug_commits_classified,22,1.0,0.0,0.0,0.0,PASS,,data_bug\yuryzablotski_yuzaR-Blog_bug_commits\yuryzablotski_yuzaR-Blog_bug_commits_classified
z3tt_TidyTuesday_bug_commits_classified,89,1.0,0.0,0.0,0.0,PASS,,data_bug\z3tt_TidyTuesday_bug_commits\z3tt_TidyTuesday_bug_commits_classified
